 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
574,47.273,107.949,69.890,187.961,118.319,87.205,294.438,124.392,89.181,284.647,124.510,105.744,35.000,149.902,118.631,206.323,118.166,107.341,345.188,119.950,111.011,119.059,102.519,136.998,402.000,112.532,94.854,61.471,128.505,98.188,39.071,130.678,93.262,21.833,107.160,64.112,136.222,97.857,68.602
575,462.591,107.786,69.895,153.961,118.370,87.381,85.312,124.495,89.275,220.000,124.486,105.857,105.900,149.742,119.242,130.452,118.271,107.490,343.188,120.056,110.834,112.529,102.498,137.035,325.706,112.616,94.770,98.882,128.378,98.618,48.857,130.987,93.025,49.278,107.189,63.895,158.389,97.922,68.606
576,479.818,107.863,69.849,151.255,118.412,87.175,58.062,124.620,89.410,248.882,124.499,105.707,31.100,149.653,119.359,206.065,118.332,107.303,274.438,120.143,111.076,105.471,102.321,136.980,282.176,112.534,94.807,28.882,128.325,97.892,51.500,130.795,93.156,44.056,107.277,64.286,174.944,97.897,68.676
577,393.591,107.913,69.848,182.353,118.177,87.256,51.812,124.301,89.299,222.235,124.447,105.858,46.600,149.655,118.906,261.742,118.307,107.253,220.438,119.911,111.167,81.941,102.686,137.122,357.118,112.504,94.825,60.353,128.584,98.792,29.714,130.728,92.671,57.778,107.638,64.312,150.889,97.990,68.593
578,496.455,107.821,69.948,219.098,118.226,87.268,54.688,124.496,89.155,260.294,124.358,105.779,62.800,149.797,118.873,267.806,118.263,107.243,262.875,119.911,110.852,85.118,102.338,136.852,382.706,112.643,94.832,27.706,128.088,98.705,54.286,130.848,92.958,77.056,107.373,63.864,145.611,97.872,68.533
579,464.227,107.734,69.892,214.902,118.131,87.274,92.688,124.371,89.060,177.647,124.508,105.993,31.200,149.967,119.253,196.065,118.289,107.399,227.000,120.172,111.113,129.529,102.504,137.150,363.706,112.515,94.927,23.412,127.981,98.118,65.429,131.005,93.015,75.111,107.317,64.380,157.444,98.275,68.637
580,453.864,107.873,69.807,246.902,118.439,87.361,48.562,124.333,89.242,196.882,124.547,105.714,35.100,149.868,119.009,175.419,118.291,107.411,263.938,120.075,111.125,119.294,102.449,137.074,342.941,112.559,94.715,42.471,128.175,98.586,31.286,130.709,93.139,13.444,107.151,64.258,99.722,97.970,68.656
581,305.955,107.857,69.943,186.314,118.460,87.249,9.875,124.516,88.937,168.294,124.421,105.751,69.900,150.079,118.924,146.323,118.276,107.224,264.062,119.902,111.098,84.471,102.163,136.925,426.706,112.579,94.737,52.588,128.546,98.395,52.500,130.828,93.102,77.222,107.451,64.147,74.833,98.055,68.447
582,442.318,107.847,69.901,163.098,118.237,87.562,48.938,124.683,89.443,176.059,124.394,105.864,102.300,149.666,119.074,175.935,118.149,107.401,305.125,119.970,110.855,115.471,102.507,136.984,405.059,112.530,94.679,56.706,128.672,98.457,53.357,130.615,92.840,42.278,107.311,64.465,78.778,98.018,68.488
583,354.091,107.874,69.991,185.451,118.385,87.332,25.562,124.251,89.539,177.353,124.720,105.646,59.900,149.802,119.217,167.226,118.192,107.385,259.125,120.034,111.023,134.529,102.390,137.007,429.000,112.596,94.732,33.059,128.332,98.572,57.286,130.735,92.825,20.944,107.154,63.856,55.111,97.712,68.525
