 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12
130,16.364,90.393,85.884,56.000,52.557,72.141,58.571,66.147,41.871,78.857,52.307,76.237,17.412,45.689,78.939,36.083,29.873,109.281,73.875,25.815,106.677,62.250,29.063,114.254,39.308,46.525,104.223,31.048,89.576,91.884,45.167,49.848,104.466,44.600,94.353,94.770
131,14.000,91.021,86.025,61.500,52.482,71.965,36.857,66.331,41.901,47.619,52.313,76.261,14.588,45.988,78.873,76.917,29.991,109.694,53.875,25.975,107.026,44.500,29.110,113.944,51.000,46.351,103.841,47.524,89.839,91.785,55.833,50.048,104.481,42.100,94.435,94.433
132,99.636,90.732,86.050,65.000,52.544,72.100,44.381,66.149,41.869,58.190,52.139,76.097,45.882,45.601,78.985,108.417,30.025,109.114,49.125,25.636,106.646,106.750,29.140,114.373,43.769,46.358,103.899,78.571,89.767,91.534,61.167,49.847,104.312,37.800,94.097,94.821
133,15.636,91.064,86.191,95.250,52.525,72.236,39.810,66.270,41.600,29.048,52.606,76.184,32.824,45.697,79.087,40.333,29.809,109.343,39.125,25.678,107.119,105.500,29.157,113.822,57.692,46.466,103.970,39.238,89.653,91.671,23.417,49.893,104.488,41.200,94.338,94.839
134,26.000,90.801,86.040,30.250,52.422,72.103,19.810,66.042,42.290,48.286,52.420,76.253,367.882,45.792,78.887,47.000,29.891,109.119,39.625,25.851,106.719,27.500,28.985,114.336,51.385,46.633,103.906,45.333,89.826,91.660,27.333,49.867,104.481,28.100,94.444,94.335
135,77.091,90.794,86.005,114.250,52.603,72.219,28.762,66.230,42.087,62.762,52.322,76.150,185.765,45.721,78.833,36.000,29.995,109.386,81.375,25.819,107.069,95.000,29.173,114.095,42.308,46.461,103.694,57.810,89.782,91.698,80.333,49.771,104.467,24.600,94.055,94.690
136,69.636,90.809,85.755,77.250,52.466,72.203,44.190,66.038,42.018,24.095,52.258,76.199,273.412,45.544,78.945,68.667,30.329,109.394,18.250,25.758,106.833,30.250,29.121,114.007,32.923,46.706,103.812,34.571,90.011,91.478,40.417,49.883,104.583,55.100,94.477,94.317
137,56.364,90.488,85.989,158.250,52.517,72.272,61.810,66.091,41.989,69.238,52.220,76.204,324.118,45.797,78.853,33.417,29.942,109.051,18.625,25.839,106.826,27.250,29.181,113.632,39.308,46.346,103.983,64.190,89.665,91.552,74.167,49.824,104.429,59.000,94.354,94.562
138,90.364,90.664,85.790,18.500,52.541,72.389,17.714,66.127,41.855,82.381,52.443,76.078,383.176,45.725,78.898,62.750,30.044,109.255,51.125,25.830,106.839,3.750,28.985,113.615,87.231,46.551,103.939,53.048,89.700,91.282,49.083,49.743,104.448,63.900,94.277,94.520
139,52.182,90.618,85.934,45.250,52.521,72.385,40.286,66.132,42.089,37.143,52.127,75.976,198.353,45.689,78.903,58.917,30.146,109.347,72.625,25.723,106.784,38.750,29.043,114.083,42.615,46.848,103.949,54.857,89.811,91.540,28.917,49.600,104.382,45.800,94.481,94.458
140,45.091,90.938,86.091,110.750,52.665,72.259,28.667,66.275,41.991,54.476,52.386,75.930,328.824,45.662,78.911,35.583,30.104,109.439,46.000,25.670,106.985,57.750,29.240,114.042,99.923,46.556,103.921,48.381,89.896,91.738,24.417,49.811,104.763,29.200,94.288,94.761
141,42.727,90.812,86.016,51.500,52.312,72.286,30.381,66.139,41.971,42.857,52.274,76.172,278.706,45.630,78.879,58.333,30.109,109.407,86.000,25.679,106.965,11.000,29.055,114.235,37.923,46.524,103.877,77.714,89.737,91.664,30.500,49.541,104.382,8.000,94.190,94.465
142,44.182,90.672,85.869,37.250,52.406,72.154,40.190,66.163,41.954,16.762,52.084,76.022,319.176,45.738,78.935,62.667,30.131,109.196,14.500,25.653,106.945,76.750,29.133,114.004,53.538,46.704,103.946,60.286,89.832,91.624,86.667,49.830,104.311,45.400,94.231,94.270
