 ,Mean1,XM1,YM1,Mean2,XM2,YM2,Mean3,XM3,YM3,Mean4,XM4,YM4,Mean5,XM5,YM5,Mean6,XM6,YM6,Mean7,XM7,YM7,Mean8,XM8,YM8,Mean9,XM9,YM9,Mean10,XM10,YM10,Mean11,XM11,YM11,Mean12,XM12,YM12,Mean13,XM13,YM13
188,77.647,77.458,76.099,157.500,94.568,85.265,78.000,100.634,82.924,77.000,87.350,76.703,31.438,80.801,59.841,34.077,92.916,55.103,31.375,70.020,65.991,20.846,101.900,64.568,97.818,86.650,46.928,31.154,94.976,61.221,30.000,106.740,118.401,71.500,99.901,89.115,111.154,86.755,88.359
189,62.000,77.390,76.231,133.500,94.690,85.241,97.000,100.604,82.920,85.692,87.188,76.849,57.250,80.965,60.098,67.615,92.787,55.084,41.250,69.812,66.010,70.615,101.729,64.488,86.727,86.520,46.912,45.077,94.695,61.323,10.500,106.603,118.393,61.333,100.105,89.346,174.615,86.712,88.400
190,120.471,77.277,75.999,163.167,94.450,85.351,249.000,100.596,83.131,34.769,87.185,76.615,54.688,80.907,60.179,31.231,93.196,55.123,11.875,69.990,65.340,34.769,101.402,64.558,29.636,86.776,46.870,28.692,94.768,61.530,29.833,106.599,118.199,107.000,100.121,89.238,154.231,86.667,88.325
191,61.294,77.145,76.222,176.167,94.451,85.174,213.750,100.569,83.081,72.385,87.348,76.786,4.062,80.745,60.328,20.154,92.742,55.276,25.000,70.203,65.658,24.077,101.388,64.213,90.182,86.459,46.802,11.769,94.594,61.691,33.667,106.786,118.323,140.333,100.099,89.160,231.077,86.692,88.380
192,111.647,77.196,76.167,242.833,94.606,85.189,199.500,100.645,83.031,81.385,87.421,76.832,31.000,80.867,59.958,55.077,92.959,55.177,19.250,70.120,65.891,47.462,101.404,64.481,54.909,86.594,46.613,15.308,94.510,61.541,28.500,106.659,118.390,170.667,100.080,89.358,225.538,86.666,88.187
193,71.059,77.384,75.975,123.833,94.643,85.337,154.000,100.569,83.068,68.538,87.283,76.913,28.750,81.107,60.344,39.769,92.658,55.096,36.250,70.234,65.723,32.000,101.808,64.721,14.909,86.603,46.836,13.231,94.464,61.102,19.833,106.485,118.265,100.000,100.364,89.236,216.769,86.637,88.332
194,104.941,77.279,76.006,193.667,94.532,85.212,147.750,100.623,83.027,65.923,87.470,77.038,36.062,80.963,60.159,43.538,92.758,54.891,55.000,70.233,65.811,12.615,101.457,64.540,21.818,86.795,47.249,23.462,94.762,61.583,18.333,106.654,118.333,119.000,100.143,89.262,175.154,86.749,88.359
195,90.353,77.180,76.088,174.833,94.609,85.250,280.500,100.583,83.159,64.154,87.390,77.064,42.188,80.860,59.996,31.923,93.039,55.098,25.625,69.932,65.737,15.385,101.367,64.685,63.455,86.630,47.079,32.923,94.982,61.326,38.333,106.899,118.301,161.667,100.126,89.186,188.154,86.660,88.417
196,55.647,77.441,76.080,152.500,94.623,85.177,163.500,100.553,83.024,74.538,87.328,76.992,67.000,80.859,60.220,35.462,92.484,54.813,32.125,69.827,65.748,24.154,101.483,64.665,27.636,86.388,47.026,52.538,94.371,61.452,4.167,106.485,118.885,147.167,100.111,89.132,134.615,86.623,88.374
197,73.176,77.499,76.100,249.333,94.593,85.274,214.000,100.591,83.018,109.308,87.298,76.849,31.500,80.635,60.040,36.538,92.925,55.065,26.250,70.044,65.637,24.077,101.323,64.675,87.636,86.467,47.257,27.846,94.885,61.492,33.333,106.513,118.575,161.167,100.090,89.175,189.923,86.709,88.344
198,91.882,77.220,76.229,165.667,94.565,85.250,239.500,100.592,83.089,71.385,87.079,76.687,43.125,80.787,60.142,30.000,92.568,55.174,39.625,69.930,65.953,43.231,101.553,64.451,32.909,86.529,47.203,37.077,94.680,61.130,24.333,106.668,118.140,106.167,99.947,89.223,146.923,86.643,88.409
199,69.529,77.360,76.205,236.500,94.491,85.414,212.750,100.590,83.159,66.000,87.359,76.991,29.750,80.930,60.034,41.385,92.836,55.030,27.375,70.049,65.824,31.615,101.490,64.590,33.091,86.497,47.055,20.231,94.750,61.863,39.667,106.648,118.360,70.167,99.989,89.288,210.538,86.686,88.324
200,61.412,77.278,76.167,217.167,94.514,85.293,211.500,100.570,83.150,61.154,87.384,76.950,28.188,80.889,59.831,36.923,93.079,54.919,33.500,70.175,65.986,32.692,101.264,64.299,30.364,86.721,47.392,28.615,94.552,61.764,18.500,107.091,118.569,140.500,100.146,89.196,168.385,86.724,88.455
201,112.706,77.461,76.115,239.000,94.554,85.206,278.500,100.677,82.967,91.846,87.389,76.878,28.438,81.049,60.243,16.615,92.582,55.072,49.250,70.076,65.370,42.538,101.523,64.301,29.636,86.670,47.125,52.385,94.609,61.282,31.333,106.465,118.479,102.667,99.964,89.271,142.000,86.593,88.427
202,58.941,77.247,76.086,197.500,94.442,85.231,286.250,100.601,83.120,96.385,87.332,77.017,60.812,80.978,59.944,51.846,92.647,55.054,42.250,69.911,65.783,29.692,101.254,64.335,36.727,86.613,46.919,32.615,94.836,61.324,61.000,106.611,118.226,100.333,100.109,89.327,208.538,86.620,88.403
203,43.529,77.156,76.275,224.333,94.515,85.327,218.000,100.588,83.048,68.462,87.230,76.577,65.625,80.633,60.065,53.385,92.662,55.160,44.625,70.224,65.926,24.769,101.582,64.502,51.273,86.723,46.806,9.308,94.977,61.263,36.833,106.796,118.627,107.500,100.103,89.425,173.538,86.654,88.504
204,53.529,77.549,76.074,139.833,94.645,85.193,187.500,100.554,83.036,35.154,87.242,76.951,35.312,80.485,59.993,64.154,92.703,55.043,4.000,70.302,65.681,32.154,101.533,64.972,82.727,86.689,46.844,17.538,94.583,61.281,34.500,106.530,118.304,59.333,99.909,89.301,196.615,86.728,88.268
205,124.471,77.574,76.080,185.167,94.627,85.262,119.500,100.518,82.946,66.077,87.266,76.773,19.750,81.032,60.370,37.615,92.765,54.911,18.625,70.109,65.686,5.154,101.446,64.769,39.818,86.645,47.037,27.538,94.542,61.339,25.500,106.902,118.534,114.667,100.180,89.316,175.615,86.657,88.339
206,59.765,77.313,76.211,179.667,94.611,85.279,181.250,100.547,82.939,52.154,87.401,77.043,56.188,80.904,60.062,44.154,92.511,54.942,43.625,69.999,65.461,33.154,101.217,64.401,4.364,86.916,46.888,26.000,94.715,61.081,6.667,106.950,118.490,154.667,100.178,89.329,181.308,86.745,88.460
207,36.471,77.423,76.097,106.833,94.570,85.120,115.000,100.500,83.011,98.692,87.275,76.788,46.750,80.697,60.266,54.154,92.393,54.874,31.750,70.099,65.844,55.154,101.558,64.333,58.182,86.577,47.007,36.231,94.625,61.218,9.333,106.430,118.265,95.167,100.011,89.190,227.462,86.667,88.298
208,53.412,77.489,76.216,105.167,94.540,85.195,171.250,100.586,82.936,52.231,87.354,76.628,40.375,81.170,60.147,13.923,92.345,55.645,45.750,70.142,66.215,24.538,101.488,64.687,69.091,86.572,47.245,23.923,94.634,61.796,2.167,106.580,118.670,73.500,100.145,89.308,161.692,86.682,88.434
209,58.353,77.544,76.059,152.667,94.573,85.145,191.000,100.612,83.041,69.846,87.192,76.911,192.625,80.920,60.286,23.308,92.713,55.011,69.500,70.119,65.811,11.462,101.604,64.485,20.364,86.642,46.968,32.154,94.756,61.525,27.500,106.774,118.453,98.667,99.995,89.225,192.385,86.588,88.358
210,78.824,77.280,76.175,94.000,94.562,85.207,151.250,100.590,83.127,66.692,87.431,76.729,250.688,80.904,60.164,35.000,92.765,55.106,16.000,70.060,65.565,40.538,101.726,64.614,9.636,86.335,47.275,18.154,94.721,61.195,21.333,106.727,118.776,81.500,99.990,89.346,180.308,86.688,88.445
211,72.941,77.398,76.146,171.000,94.590,85.238,144.000,100.619,83.118,51.308,87.328,76.900,270.625,80.874,60.090,44.615,92.604,54.994,13.875,69.941,66.031,40.923,101.430,64.257,51.091,86.582,47.079,39.231,94.599,61.592,39.333,106.710,118.354,56.500,100.148,89.120,220.154,86.796,88.304
212,48.471,77.635,75.964,182.500,94.540,85.351,160.750,100.594,83.201,83.000,87.405,76.629,131.562,80.896,60.234,41.231,92.563,54.866,40.375,69.868,65.949,17.462,101.556,64.694,124.909,86.578,47.049,19.538,94.779,61.220,37.167,106.475,118.492,128.667,100.118,89.305,160.308,86.681,88.398
213,59.412,77.608,76.176,142.333,94.684,85.208,100.750,100.505,82.981,72.231,87.250,76.732,104.125,80.904,60.200,27.769,92.884,55.058,34.125,70.131,66.067,12.000,101.620,64.885,43.818,86.465,47.055,35.923,94.498,61.161,32.000,106.256,118.581,74.667,100.081,89.098,190.000,86.581,88.196
